num_reinas,tam_pob,tiempo_avg,iter_avg
4,20,0.332,1.9
4,30,0.353,1.6
4,40,0.329,1.0
4,60,0.355,1.1
4,100,0.331,1.0
4,400,0.365,1.0
4,1000,0.368,1.0
5,20,0.329,1.5
5,30,0.324,1.4
5,40,0.321,1.5
5,60,0.324,1.1
5,100,0.322,1.0
5,400,0.336,1.0
5,1000,0.374,1.0
10,20,0.373,34.3
10,30,0.357,17.2
10,40,0.37,16.4
10,60,0.413,20.4
10,100,0.409,12.7
10,400,0.439,3.8
10,1000,0.526,2.9
15,20,0.46,80.7
15,30,0.429,46.3
15,40,0.474,46.4
15,60,0.474,32.6
15,100,0.551,28.4
15,400,0.897,17.7
15,1000,1.422,13.9
20,20,0.644,173.5
20,30,0.576,96.9
20,40,0.549,63.3
20,60,0.818,92.7
20,100,0.852,59.8
20,400,1.695,38.5
20,1000,3.102,31.1
25,20,0.748,199.6
25,30,0.697,128.4
25,40,1.134,194.0
25,60,0.909,99.1
25,100,1.608,132.7
25,400,2.494,56.4
25,1000,7.417,70.7
30,20,1.563,501.3
30,30,1.801,464.3
30,40,1.585,264.7
30,60,1.839,217.1
30,100,2.69,214.6
30,400,5.619,119.0
30,1000,10.37,93.4
40,20,5.493,1908.1
40,30,2.687,638.8
40,40,5.125,903.2
40,60,4.458,542.1
40,100,7.655,513.0
40,400,23.327,440.2
40,1000,55.856,407.4
50,20,11.462,3468.7
50,30,8.564,1954.6
50,40,10.252,1692.8
50,60,15.434,1674.1
50,100,24.568,1638.8
50,400,37.854,642.0
50,1000,100.358,614.0
