num_reinas,tam_pob,tiempo_avg,iter_avg
4,5,0.003,2.1
4,10,0.006,2.0
4,15,0.003,1.3
4,20,0.001,1.0
4,30,0.002,1.1
4,40,0.001,1.0
4,60,0.002,1.0
4,100,0.004,1.0
5,5,0.001,1.4
5,10,0.002,1.4
5,15,0.003,1.3
5,20,0.001,1.0
5,30,0.001,1.0
5,40,0.002,1.0
5,60,0.002,1.0
5,100,0.004,1.0
10,5,0.516,179.8
10,10,0.215,41.8
10,15,0.204,27.2
10,20,0.338,33.3
10,30,0.156,11.4
10,40,0.437,21.0
10,60,0.404,13.5
10,100,0.384,8.2
15,5,1.617,478.6
15,10,0.551,96.0
15,15,0.905,101.3
15,20,1.018,101.4
15,30,1.108,79.5
15,40,0.845,49.0
15,60,0.811,33.0
15,100,1.63,39.8
20,5,1.013,405.6
20,10,0.576,118.5
20,15,1.235,171.5
20,20,1.349,142.1
20,30,1.658,119.1
20,40,2.75,148.5
20,60,2.783,100.5
20,100,3.056,66.4
25,5,2.364,865.3
25,10,2.24,422.7
25,15,2.977,377.5
25,20,4.766,459.1
25,30,4.083,264.3
25,40,5.675,278.3
25,60,8.39,275.0
25,100,9.832,186.2
30,5,4.278,1154.7
30,10,5.887,847.0
30,15,4.825,508.7
30,20,9.366,743.1
30,30,11.684,621.2
30,40,8.064,322.6
30,60,7.343,195.9
30,100,17.954,305.1
40,5,10.673,2772.1
40,10,20.123,2604.8
40,15,19.614,1641.7
40,20,36.817,2458.8
40,30,25.561,1278.2
40,40,38.981,1423.2
40,60,23.071,579.1
40,100,69.651,1056.4
50,5,46.479,11543.3
50,10,42.392,5246.3
50,15,65.266,5477.1
50,20,82.599,5269.0
50,30,146.68,6385.8
50,40,86.786,2726.9
50,60,124.442,2719.5
50,100,213.165,2804.4
